,age,Z,imf1,imf2,velz,sigma,nah,cah,feh,ch,nh,ah,tih,mgh,sih,mnh,bah,nih,coh,euh,srh,kh,vh,cuh,loghot,hotteff,logm7g,age_young,log_frac_young,velz2,sigma2,logemline_h,logemline_oiii,logemline_oii,logemline_nii,logemline_ni,logemline_sii,h3,h4
mean,13.588628768920898,0.11561581492424011,1.2447675466537476,3.4467382431030273,-0.34994614124298096,2.6145663261413574,0.5841370820999146,0.0279726292937994,0.007812988013029099,0.1854213923215866,0.2411583811044693,0.21885842084884644,0.2078416645526886,0.24904018640518188,0.13843873143196106,0.0942254289984703,-0.3447640538215637,0.25165197253227234,0.0634009838104248,0.3935634195804596,0.4351332485675812,-0.18323175609111786,0.08403989672660828,0.375753790140152,-3.3544845581054688,24.399118423461914,-6.025348663330078,4.521349906921387,-6.341818332672119,0.8787182569503784,7.138240337371826,-7.643569469451904,-3.743208646774292,-5.501504898071289,-5.492640495300293,-7.783587455749512,-5.58540153503418,0.006759460549801588,0.035248346626758575
std,0.22892849147319794,0.007343567907810211,0.18242569267749786,0.048240114003419876,0.01668074168264866,0.023154614493250847,0.02009447291493416,0.00816760677844286,0.007902638986706734,0.006838231813162565,0.01370279025286436,0.022832168266177177,0.01941268891096115,0.00938747450709343,0.014483743347227573,0.019701268523931503,0.11033669859170914,0.024722237139940262,0.0277122613042593,0.08956963568925858,0.04523429647088051,0.104310043156147,0.030666913837194443,0.09633784741163254,0.035687610507011414,3.719693660736084,0.07354813069105148,2.0064351558685303,2.055196523666382,0.674612820148468,0.6452866196632385,1.3397551774978638,0.04043781757354736,2.605538845062256,2.5828421115875244,1.3299087285995483,2.5562078952789307,0.007898649200797081,0.007104312069714069
skew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
