,age,Z,imf1,imf2,velz,sigma,nah,cah,feh,ch,nh,ah,tih,mgh,sih,mnh,bah,nih,coh,euh,srh,kh,vh,cuh,loghot,hotteff,logm7g,age_young,log_frac_young,velz2,sigma2,logemline_h,logemline_oiii,logemline_oii,logemline_nii,logemline_ni,logemline_sii,h3,h4
mean,12.23861312866211,0.07475930452346802,1.54714035987854,3.480043888092041,-0.32249048352241516,1.5549088716506958,0.5511569380760193,-0.0027418374083936214,-0.032521773129701614,0.2066623866558075,0.1910448670387268,0.23110431432724,0.11587249487638474,0.21064499020576477,0.14714989066123962,-0.0392879918217659,-0.5515267848968506,0.12450051307678223,0.009454441256821156,0.21449372172355652,0.4733169376850128,0.0033378168009221554,0.1577775925397873,0.41009318828582764,-3.2996127605438232,29.56753921508789,-5.946897029876709,4.577182292938232,-6.546360969543457,-1.1774822473526,4.841520309448242,-7.025001049041748,-3.7729203701019287,-5.50481653213501,-5.486650466918945,-7.594639778137207,-5.500791072845459,0.008269784040749073,0.7542839646339417
std,0.2872420847415924,0.007548661902546883,0.18958547711372375,0.019626691937446594,0.051432691514492035,0.025240473449230194,0.029084226116538048,0.00999849010258913,0.010120137594640255,0.007665590383112431,0.015637293457984924,0.028403189033269882,0.019031714648008347,0.009968884289264679,0.01494001317769289,0.023604605346918106,0.042686816304922104,0.026821911334991455,0.03132007271051407,0.17025181651115417,0.023467091843485832,0.19758521020412445,0.031933341175317764,0.0777212604880333,0.03623161464929581,0.5179272294044495,0.06407622992992401,1.989663004875183,2.0021615028381348,0.5268347263336182,0.6219508051872253,1.6883522272109985,0.05030915141105652,2.589372158050537,2.6029694080352783,1.3895732164382935,2.571199655532837,0.03179852291941643,0.030508466064929962
skew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
