,age,Z,nah,cah,feh,ch,nh,ah,tih,mgh,sih,mnh,bah,nih,coh,euh,srh,kh,vh,cuh,teff,loghot,hotteff,logm7g,age_young,log_frac_young
mean,12.236713541461555,0.09086191337890628,0.659387947363281,0.10350281396484375,-0.01494471269531251,0.1661403321289062,0.43870604130859375,0.17894318203125006,0.2017295703124999,0.23644495478515618,0.23217466787109378,0.018362584277343767,-0.2971217989257811,0.02293107080078123,0.12593956298828124,0.24296191337890627,0.3872106610351562,-0.17784997490234375,0.22365917314453124,0.1676781006835937,0.29572455224609373,-3.5261038449218756,14.369626996484378,-5.541098901171876,1.5492619980771989,-3.4992784944335944
std,0.8648045941510086,0.016773045570209047,0.055363060084601665,0.016697159519425714,0.02134490217089397,0.021089725128256024,0.026456980644821906,0.06027461215203132,0.027357097935848722,0.02361544665381302,0.03056216215866512,0.03442523849339856,0.1515115765912435,0.05150185040655043,0.051103897909622,0.1927740931110562,0.07442201819745663,0.10874227280072163,0.056903003180421644,0.19174952116643887,1.083450842473471,1.2048112293722804,7.271482491825951,0.2866968420846524,0.691672746130153,1.5399101713704462
skew,-0.22334036924037012,0.02645926059673075,0.4235467128878957,-0.010397802340306418,0.09168928290214207,-0.09688693814344103,0.14655503115957325,-0.10223249313298982,0.12081055247408999,-0.008765704910783035,-0.13785148424724258,0.11971925969414199,0.12406542599967742,0.17311491462403567,-0.013957009516298313,-0.9012035108974699,-0.7272876307419558,1.3641080437059168,0.08136617539393938,-0.28604908504873683,-0.30484348774632564,-1.0460973116064862,0.7941988918319528,0.18342226159335687,0.33188327282177693,0.19749917938126246
