,age,Z,nah,cah,feh,ch,nh,ah,tih,mgh,sih,mnh,bah,nih,coh,euh,srh,kh,vh,cuh,teff,loghot,hotteff,logm7g,age_young,log_frac_young
mean,13.234499464090453,0.0739250115234375,0.6234460077148437,0.02980123349609374,-0.0184430474609375,0.20357480078125006,0.3492299680664064,0.32140031171875,0.1630400999999999,0.2577098861328124,0.13407143486328127,0.12763681054687495,-0.4089617244140625,0.10332642812500001,0.22735119501953127,-0.14427144599609373,0.19880666621093743,0.33764689345703125,0.08231061181640627,-0.09744835800781247,-0.05489879814453126,-3.5169253691406253,23.618345747753903,-5.507391873730469,1.3844524307099837,-3.220255534960939
std,0.4798292595558261,0.015476433556689762,0.050550834889316824,0.012560559375604926,0.015381223022315245,0.014345614400869585,0.024298481324934663,0.04417769563459053,0.02774845009286836,0.01680546333921288,0.023026109863565316,0.022668258552521216,0.1246032749563301,0.03999934353601345,0.0465586753309405,0.218860017762074,0.07170165261736741,0.1480643275860646,0.043402293257797285,0.1534135221765678,1.1417595922626702,0.12223520744339954,3.4351158386451153,0.28357774159216464,0.7051246608135774,1.5900647664555465
skew,-0.6226535419506894,0.20715815766880666,0.46007873539270433,-0.022103423223995514,-0.20010938771461062,-0.009065606416314768,-0.037941045164658856,0.03100143606935996,0.15027665686016126,-0.025205502721476966,-0.014102095766272709,-0.041302213247539396,0.6599709823238935,0.026052634826023883,0.002535218208896615,0.2105970002487861,-0.0025623008546413694,-1.3075574369491514,-0.048955368645119214,0.9103998114655613,0.08118152378586622,-3.572123615951892,-0.4645176803689358,0.05367485047367161,0.6099783821650232,-0.007164601152743281
