,age,Z,imf1,imf2,velz,sigma,nah,cah,feh,ch,nh,ah,tih,mgh,sih,mnh,bah,nih,coh,euh,srh,kh,vh,cuh,loghot,hotteff,logm7g,age_young,log_frac_young,velz2,sigma2,logemline_h,logemline_oiii,logemline_oii,logemline_nii,logemline_ni,logemline_sii,h3,h4
mean,13.719659805297852,0.043220315128564835,1.059762954711914,3.4350473880767822,-0.0036730817519128323,2.0566844940185547,0.4772368371486664,0.05091388523578644,0.03175001218914986,0.20174354314804077,0.2501324415206909,0.1260036677122116,0.2765394449234009,0.30897799134254456,0.15065136551856995,0.11140687763690948,-0.36938685178756714,0.1794499158859253,0.04199977219104767,0.3819641172885895,0.45920810103416443,0.054714422672986984,0.11499246209859848,0.15355776250362396,-3.3692827224731445,27.407316207885742,-5.757657527923584,4.478126525878906,-6.295091152191162,0.4801096022129059,6.696872234344482,-7.473089694976807,-3.6287012100219727,-5.556055068969727,-5.572319507598877,-7.578652381896973,-5.565511703491211,0.010268539190292358,-0.004293863195925951
std,0.21390269696712494,0.008151622489094734,0.12843023240566254,0.05721595138311386,0.0213184617459774,0.02738162875175476,0.03197014704346657,0.008756599389016628,0.008917765691876411,0.008646144531667233,0.016326380893588066,0.029623936861753464,0.0196183230727911,0.010573107749223709,0.015862012282013893,0.022841207683086395,0.11799759417772293,0.02711142599582672,0.03310190886259079,0.09705742448568344,0.03529376536607742,0.20400284230709076,0.033668920397758484,0.17007765173912048,0.04188491031527519,1.4268014430999756,0.049725160002708435,1.987220048904419,2.1412503719329834,0.7508133053779602,0.6418299674987793,1.5107423067092896,0.04149705916643143,2.545133113861084,2.6272261142730713,1.3890080451965332,2.5267648696899414,0.01226288266479969,0.009321562014520168
skew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
