,age,Z,nah,cah,feh,ch,nh,ah,tih,mgh,sih,mnh,bah,nih,coh,euh,srh,kh,vh,cuh,teff,loghot,hotteff,logm7g,age_young,log_frac_young
mean,13.910634815126597,-0.057246348632812465,0.3801224459960938,0.10923020439453128,0.029561627734375002,0.20661718613281255,0.38952776015624996,0.250456620703125,0.18998885019531248,0.27000871572265633,0.23606810654296878,0.004111321777343751,-0.24343712646484375,0.157502084375,0.04182420966796876,0.4507235254882812,0.46618562929687496,-0.20932730429687504,0.12819034130859366,0.30473074052734367,-0.5036797875000002,-2.725760306152343,8.893244078515625,-5.483294047656246,1.4051791308618842,-3.2149666650390607
std,0.10331795233629447,0.01203807614176208,0.033550197966179536,0.009322495006892488,0.008921078129413833,0.012785368272498118,0.015735096847229565,0.03568874098179298,0.016970202518927644,0.012532898770236943,0.01408928210724851,0.015952683110033703,0.09613133324306129,0.02440418568036613,0.02590394320578961,0.050603087556131486,0.027469331493533686,0.08458820656224354,0.02921198902193897,0.12719296013890444,1.0824587823695706,0.07181016813469542,0.5139208098323179,0.2874709833219505,0.7029984402010705,1.583863070215315
skew,-2.551368293532658,0.0899555224925264,0.1158137116690659,-0.004689647073701321,0.0746009179585825,0.15937458928146173,-0.007619768834170808,0.1338098457421911,-0.004362768487800806,0.023519956546164192,0.05525043764754155,0.025953117496711833,-0.027186639800941426,-0.02553696004740094,-0.08128016652633854,-1.7819855553859927,-1.1864524089915924,1.54211756364361,-0.07547251657182656,-0.6148526600174111,0.5643868806393296,-0.020536674214693715,0.410107545245146,-0.07014916298104772,0.5665847107028218,-0.023052320183966923
