# name, velz_16, velz_50, velz_84, sigma_16, sigma_50, sigma_84
ESO325-G004,-217.01829051971436,-214.0618085861206,-211.3928966522217,323.01928780937527,328.53863900310364,332.3849715813822
NGC1277,-226.74993133544922,-224.25514459609985,-221.94726943969724,377.2187022997436,379.39830585387017,381.7882875994404
NGC1407,-218.34822273254395,-216.5851593017578,-214.65102863311768,283.4704264308402,286.2797906124774,288.8938370364768
NGC1600,-217.47332572937012,-214.0604019165039,-210.94875049591067,326.93918377237526,331.0747225537714,334.7455416899029
NGC2695,-224.73572540283203,-219.82617378234863,-217.44459533691406,264.0862856512578,271.3439487512265,274.75367593677396
GCcombine,-339.3627510070801,-337.78122663497925,-336.24732780456543,13.269827783107758,19.14305090904236,26.29186260700226
